file miF_event maF_event weighted_maF_events
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 29.730 9.286 17.239
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 29.730 9.286 17.239
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 40.541 23.762 29.423
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 50.000 42.984 44.586
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 51.351 44.712 46.247
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 51.351 44.712 46.247
test1_unlab_g0.01_k1_p2_r100_c1.txt 31.081 10.073 18.592
test1_unlab_g0.01_k1_p2_r100_c10.txt 31.081 10.073 18.592
test1_unlab_g0.01_k1_p2_r100_c100.txt 45.946 46.977 37.718
test1_unlab_g0.01_k1_p2_r100_c1000.txt 54.054 63.601 50.069
test1_unlab_g0.01_k1_p2_r100_c10000.txt 54.054 63.601 50.069
test1_unlab_g0.01_k1_p2_r100_c100000.txt 54.054 63.601 50.069
test1_unlab_g0.01_k10_p2_r100_c1.txt 25.676 10.833 19.865
test1_unlab_g0.01_k10_p2_r100_c10.txt 28.378 16.523 24.609
test1_unlab_g0.01_k10_p2_r100_c100.txt 45.946 54.334 40.701
test1_unlab_g0.01_k10_p2_r100_c1000.txt 47.297 57.166 43.488
test1_unlab_g0.01_k10_p2_r100_c10000.txt 47.297 57.166 43.488
test1_unlab_g0.01_k10_p2_r100_c100000.txt 47.297 57.166 43.488
test1_unlab_g0.01_k100_p2_r100_c1.txt 25.676 10.881 19.890
test1_unlab_g0.01_k100_p2_r100_c10.txt 27.027 13.868 22.250
test1_unlab_g0.01_k100_p2_r100_c100.txt 24.324 20.010 27.220
test1_unlab_g0.01_k100_p2_r100_c1000.txt 22.973 19.968 27.185
test1_unlab_g0.01_k100_p2_r100_c10000.txt 22.973 19.968 27.185
test1_unlab_g0.01_k100_p2_r100_c100000.txt 22.973 19.968 27.185
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 31.081 10.078 18.594
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 31.081 10.078 18.594
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 43.243 43.184 35.406
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 50.000 60.977 46.616
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 50.000 60.977 46.616
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 50.000 60.977 46.616
test1_unlab_g0.1_k1_p2_r100_c1.txt 29.730 11.806 21.705
test1_unlab_g0.1_k1_p2_r100_c10.txt 29.730 11.806 21.705
test1_unlab_g0.1_k1_p2_r100_c100.txt 44.595 35.299 36.188
test1_unlab_g0.1_k1_p2_r100_c1000.txt 45.946 39.594 40.144
test1_unlab_g0.1_k1_p2_r100_c10000.txt 45.946 39.594 40.144
test1_unlab_g0.1_k1_p2_r100_c100000.txt 45.946 39.594 40.144
test1_unlab_g0.1_k10_p2_r100_c1.txt 21.622 9.072 16.590
test1_unlab_g0.1_k10_p2_r100_c10.txt 35.135 36.105 33.214
test1_unlab_g0.1_k10_p2_r100_c100.txt 45.946 57.951 46.694
test1_unlab_g0.1_k10_p2_r100_c1000.txt 45.946 57.951 46.694
test1_unlab_g0.1_k10_p2_r100_c10000.txt 45.946 57.951 46.694
test1_unlab_g0.1_k10_p2_r100_c100000.txt 45.946 57.951 46.694
test1_unlab_g0.1_k100_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c1000.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c10000.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c100000.txt 31.081 7.904 14.739
test1_unlab_g1_k0.1_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g1_k0.1_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g1_k0.1_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g1_k0.1_p2_r100_c1000.txt 32.432 10.466 17.566
test1_unlab_g1_k0.1_p2_r100_c10000.txt 32.432 10.466 17.566
test1_unlab_g1_k0.1_p2_r100_c100000.txt 32.432 10.466 17.566
test1_unlab_g1_k1_p2_r100_c1.txt 28.378 11.588 20.858
test1_unlab_g1_k1_p2_r100_c10.txt 28.378 11.588 20.858
test1_unlab_g1_k1_p2_r100_c100.txt 28.378 11.588 20.858
test1_unlab_g1_k1_p2_r100_c1000.txt 28.378 11.671 21.011
test1_unlab_g1_k1_p2_r100_c10000.txt 28.378 11.671 21.011
test1_unlab_g1_k1_p2_r100_c100000.txt 28.378 11.671 21.011
test1_unlab_g1_k10_p2_r100_c1.txt 33.784 14.170 25.586
test1_unlab_g1_k10_p2_r100_c10.txt 32.432 13.793 24.884
test1_unlab_g1_k10_p2_r100_c100.txt 40.541 27.811 36.404
test1_unlab_g1_k10_p2_r100_c1000.txt 40.541 27.811 36.404
test1_unlab_g1_k10_p2_r100_c10000.txt 40.541 27.811 36.404
test1_unlab_g1_k10_p2_r100_c100000.txt 40.541 27.811 36.404
test1_unlab_g1_k100_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c1000.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c10000.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c100000.txt 31.081 7.904 14.739
test1_unlab_g10_k0.1_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g10_k0.1_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g10_k0.1_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g10_k0.1_p2_r100_c1000.txt 40.541 18.186 26.159
test1_unlab_g10_k0.1_p2_r100_c10000.txt 40.541 18.186 26.159
test1_unlab_g10_k0.1_p2_r100_c100000.txt 40.541 18.186 26.159
test1_unlab_g10_k1_p2_r100_c1.txt 32.432 12.963 23.316
test1_unlab_g10_k1_p2_r100_c10.txt 32.432 12.963 23.316
test1_unlab_g10_k1_p2_r100_c100.txt 32.432 12.963 23.316
test1_unlab_g10_k1_p2_r100_c1000.txt 32.432 12.963 23.316
test1_unlab_g10_k1_p2_r100_c10000.txt 32.432 12.963 23.316
test1_unlab_g10_k1_p2_r100_c100000.txt 32.432 12.963 23.316
test1_unlab_g10_k10_p2_r100_c1.txt 33.784 13.677 24.633
test1_unlab_g10_k10_p2_r100_c10.txt 32.432 13.134 23.621
test1_unlab_g10_k10_p2_r100_c100.txt 47.297 29.968 39.085
test1_unlab_g10_k10_p2_r100_c1000.txt 47.297 29.968 39.085
test1_unlab_g10_k10_p2_r100_c10000.txt 47.297 29.968 39.085
test1_unlab_g10_k10_p2_r100_c100000.txt 47.297 29.968 39.085
test1_unlab_g10_k100_p2_r100_c1.txt 39.189 18.665 24.624
test1_unlab_g10_k100_p2_r100_c10.txt 39.189 18.665 24.624
