file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 11.832 4.688 3.523
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 11.832 4.688 3.523
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 31.902 19.239 23.117
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 51.621 42.526 49.763
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 54.514 44.106 53.214
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 54.514 44.106 53.214
test1_unlab_g0.01_k1_p2_r100_c1.txt 12.095 4.907 3.534
test1_unlab_g0.01_k1_p2_r100_c10.txt 12.095 4.907 3.534
test1_unlab_g0.01_k1_p2_r100_c100.txt 41.455 48.032 33.131
test1_unlab_g0.01_k1_p2_r100_c1000.txt 58.720 63.573 58.554
test1_unlab_g0.01_k1_p2_r100_c10000.txt 58.720 63.573 58.554
test1_unlab_g0.01_k1_p2_r100_c100000.txt 58.720 63.573 58.554
test1_unlab_g0.01_k10_p2_r100_c1.txt 8.940 5.109 3.627
test1_unlab_g0.01_k10_p2_r100_c10.txt 14.023 11.267 12.039
test1_unlab_g0.01_k10_p2_r100_c100.txt 39.439 50.907 33.197
test1_unlab_g0.01_k10_p2_r100_c1000.txt 43.734 54.221 41.223
test1_unlab_g0.01_k10_p2_r100_c10000.txt 43.734 54.221 41.223
test1_unlab_g0.01_k10_p2_r100_c100000.txt 43.734 54.221 41.223
test1_unlab_g0.01_k100_p2_r100_c1.txt 9.202 6.357 4.593
test1_unlab_g0.01_k100_p2_r100_c10.txt 11.569 9.178 8.652
test1_unlab_g0.01_k100_p2_r100_c100.txt 24.365 18.423 31.547
test1_unlab_g0.01_k100_p2_r100_c1000.txt 23.225 18.036 31.309
test1_unlab_g0.01_k100_p2_r100_c10000.txt 23.225 18.036 31.309
test1_unlab_g0.01_k100_p2_r100_c100000.txt 23.225 18.036 31.309
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 12.095 5.127 3.655
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 12.095 5.127 3.655
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 38.212 41.579 30.754
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 51.621 58.568 50.118
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 51.621 58.568 50.118
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 51.621 58.568 50.118
test1_unlab_g0.1_k1_p2_r100_c1.txt 12.445 6.267 4.568
test1_unlab_g0.1_k1_p2_r100_c10.txt 12.445 6.267 4.568
test1_unlab_g0.1_k1_p2_r100_c100.txt 38.826 32.609 28.165
test1_unlab_g0.1_k1_p2_r100_c1000.txt 42.857 35.841 36.320
test1_unlab_g0.1_k1_p2_r100_c10000.txt 42.857 35.841 36.320
test1_unlab_g0.1_k1_p2_r100_c100000.txt 42.857 35.841 36.320
test1_unlab_g0.1_k10_p2_r100_c1.txt 7.975 4.497 3.212
test1_unlab_g0.1_k10_p2_r100_c10.txt 29.448 31.847 27.129
test1_unlab_g0.1_k10_p2_r100_c100.txt 53.111 54.688 57.993
test1_unlab_g0.1_k10_p2_r100_c1000.txt 53.111 54.688 57.993
test1_unlab_g0.1_k10_p2_r100_c10000.txt 53.111 54.688 57.993
test1_unlab_g0.1_k10_p2_r100_c100000.txt 53.111 54.688 57.993
test1_unlab_g0.1_k100_p2_r100_c1.txt 12.708 3.758 2.866
test1_unlab_g0.1_k100_p2_r100_c10.txt 12.708 3.758 2.866
test1_unlab_g0.1_k100_p2_r100_c100.txt 12.708 3.758 2.866
test1_unlab_g0.1_k100_p2_r100_c1000.txt 12.708 3.758 2.866
