file miF_event maF_event weighted_maF_events
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 32.432 13.469 24.578
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 32.432 13.469 24.578
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 35.135 19.221 29.432
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 43.243 35.345 41.173
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 44.595 35.601 41.667
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 44.595 35.601 41.667
test1_unlab_g0.01_k1_p2_r100_c1.txt 37.838 16.111 29.434
test1_unlab_g0.01_k1_p2_r100_c10.txt 37.838 16.111 29.434
test1_unlab_g0.01_k1_p2_r100_c100.txt 50.000 43.484 45.193
test1_unlab_g0.01_k1_p2_r100_c1000.txt 47.297 44.290 44.900
test1_unlab_g0.01_k1_p2_r100_c10000.txt 47.297 44.290 44.900
test1_unlab_g0.01_k1_p2_r100_c100000.txt 47.297 44.290 44.900
test1_unlab_g0.01_k10_p2_r100_c1.txt 35.135 14.502 26.448
test1_unlab_g0.01_k10_p2_r100_c10.txt 35.135 14.502 26.448
test1_unlab_g0.01_k10_p2_r100_c100.txt 47.297 56.850 46.508
test1_unlab_g0.01_k10_p2_r100_c1000.txt 45.946 56.309 45.664
test1_unlab_g0.01_k10_p2_r100_c10000.txt 45.946 56.309 45.664
test1_unlab_g0.01_k10_p2_r100_c100000.txt 45.946 56.309 45.664
test1_unlab_g0.01_k100_p2_r100_c1.txt 25.676 10.784 19.714
test1_unlab_g0.01_k100_p2_r100_c10.txt 31.081 20.614 27.982
test1_unlab_g0.01_k100_p2_r100_c100.txt 20.270 19.734 25.178
test1_unlab_g0.01_k100_p2_r100_c1000.txt 20.270 19.734 25.178
test1_unlab_g0.01_k100_p2_r100_c10000.txt 20.270 19.734 25.178
test1_unlab_g0.01_k100_p2_r100_c100000.txt 20.270 19.734 25.178
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 37.838 16.089 29.408
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 37.838 16.089 29.408
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 50.000 43.892 47.025
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 45.946 40.693 42.166
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 45.946 40.693 42.166
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 45.946 40.693 42.166
test1_unlab_g0.1_k1_p2_r100_c1.txt 31.081 13.048 23.837
test1_unlab_g0.1_k1_p2_r100_c10.txt 31.081 13.048 23.837
test1_unlab_g0.1_k1_p2_r100_c100.txt 43.243 43.411 42.160
test1_unlab_g0.1_k1_p2_r100_c1000.txt 44.595 44.134 43.431
test1_unlab_g0.1_k1_p2_r100_c10000.txt 44.595 44.134 43.431
test1_unlab_g0.1_k1_p2_r100_c100000.txt 44.595 44.134 43.431
test1_unlab_g0.1_k10_p2_r100_c1.txt 27.027 11.189 20.410
test1_unlab_g0.1_k10_p2_r100_c10.txt 35.135 28.472 32.320
test1_unlab_g0.1_k10_p2_r100_c100.txt 36.486 40.740 37.154
test1_unlab_g0.1_k10_p2_r100_c1000.txt 36.486 40.740 37.154
test1_unlab_g0.1_k10_p2_r100_c10000.txt 36.486 40.740 37.154
test1_unlab_g0.1_k10_p2_r100_c100000.txt 36.486 40.740 37.154
test1_unlab_g0.1_k100_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c1000.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c10000.txt 31.081 7.904 14.739
test1_unlab_g0.1_k100_p2_r100_c100000.txt 31.081 7.904 14.739
test1_unlab_g1_k0.1_p2_r100_c1.txt 32.432 9.787 18.165
test1_unlab_g1_k0.1_p2_r100_c10.txt 32.432 9.787 18.165
test1_unlab_g1_k0.1_p2_r100_c100.txt 32.432 9.787 18.165
test1_unlab_g1_k0.1_p2_r100_c1000.txt 36.486 19.179 29.550
test1_unlab_g1_k0.1_p2_r100_c10000.txt 36.486 19.179 29.550
test1_unlab_g1_k0.1_p2_r100_c100000.txt 36.486 19.179 29.550
test1_unlab_g1_k1_p2_r100_c1.txt 29.730 8.059 14.375
test1_unlab_g1_k1_p2_r100_c10.txt 29.730 8.059 14.375
test1_unlab_g1_k1_p2_r100_c100.txt 29.730 8.059 14.375
test1_unlab_g1_k1_p2_r100_c1000.txt 33.784 20.410 29.429
test1_unlab_g1_k1_p2_r100_c10000.txt 33.784 20.410 29.429
test1_unlab_g1_k1_p2_r100_c100000.txt 33.784 20.410 29.429
test1_unlab_g1_k10_p2_r100_c1.txt 31.081 11.601 21.529
test1_unlab_g1_k10_p2_r100_c10.txt 31.081 11.601 21.529
test1_unlab_g1_k10_p2_r100_c100.txt 16.216 16.927 16.955
test1_unlab_g1_k10_p2_r100_c1000.txt 16.216 16.927 16.955
test1_unlab_g1_k10_p2_r100_c10000.txt 16.216 16.927 16.955
test1_unlab_g1_k10_p2_r100_c100000.txt 16.216 16.927 16.955
test1_unlab_g1_k100_p2_r100_c1.txt 29.730 7.639 13.626
test1_unlab_g1_k100_p2_r100_c10.txt 29.730 7.639 13.626
test1_unlab_g1_k100_p2_r100_c100.txt 29.730 7.639 13.626
test1_unlab_g1_k100_p2_r100_c1000.txt 29.730 7.639 13.626
test1_unlab_g1_k100_p2_r100_c10000.txt 29.730 7.639 13.626
test1_unlab_g1_k100_p2_r100_c100000.txt 29.730 7.639 13.626
test1_unlab_g10_k0.1_p2_r100_c1.txt 33.784 13.238 24.488
test1_unlab_g10_k0.1_p2_r100_c10.txt 33.784 13.238 24.488
test1_unlab_g10_k0.1_p2_r100_c100.txt 33.784 13.238 24.488
test1_unlab_g10_k0.1_p2_r100_c1000.txt 43.243 20.349 29.260
