file miF_event maF_event weighted_maF_events
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 33.784 12.952 23.718
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 33.784 12.952 23.718
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 33.784 12.952 23.718
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 47.297 41.163 45.331
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 43.243 38.481 40.811
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 43.243 38.481 40.811
test1_unlab_g0.01_k1_p2_r100_c1.txt 35.135 15.224 27.682
test1_unlab_g0.01_k1_p2_r100_c10.txt 35.135 15.224 27.682
test1_unlab_g0.01_k1_p2_r100_c100.txt 43.243 33.760 37.721
test1_unlab_g0.01_k1_p2_r100_c1000.txt 43.243 44.403 39.874
test1_unlab_g0.01_k1_p2_r100_c10000.txt 43.243 44.403 39.874
test1_unlab_g0.01_k1_p2_r100_c100000.txt 43.243 44.403 39.874
test1_unlab_g0.01_k10_p2_r100_c1.txt 33.784 13.348 24.260
test1_unlab_g0.01_k10_p2_r100_c10.txt 33.784 13.348 24.260
test1_unlab_g0.01_k10_p2_r100_c100.txt 44.595 52.829 39.580
test1_unlab_g0.01_k10_p2_r100_c1000.txt 45.946 53.953 41.667
test1_unlab_g0.01_k10_p2_r100_c10000.txt 45.946 53.953 41.667
test1_unlab_g0.01_k10_p2_r100_c100000.txt 45.946 53.953 41.667
test1_unlab_g0.01_k100_p2_r100_c1.txt 35.135 14.519 26.411
test1_unlab_g0.01_k100_p2_r100_c10.txt 41.892 28.069 38.582
test1_unlab_g0.01_k100_p2_r100_c100.txt 50.000 44.443 47.733
test1_unlab_g0.01_k100_p2_r100_c1000.txt 50.000 44.443 47.733
test1_unlab_g0.01_k100_p2_r100_c10000.txt 50.000 44.443 47.733
test1_unlab_g0.01_k100_p2_r100_c100000.txt 50.000 44.443 47.733
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 37.838 15.734 28.712
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 37.838 15.734 28.712
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 47.297 36.134 41.903
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 45.946 45.444 43.879
