file miF_event maF_event weighted_maF_events
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 36.486 17.768 23.095
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 41.892 43.153 37.801
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 41.892 43.153 37.801
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 41.892 43.153 37.801
test1_unlab_g0.01_k1_p2_r100_c1.txt 32.432 11.212 20.683
test1_unlab_g0.01_k1_p2_r100_c10.txt 32.432 11.212 20.683
test1_unlab_g0.01_k1_p2_r100_c100.txt 50.000 41.270 40.301
test1_unlab_g0.01_k1_p2_r100_c1000.txt 45.946 46.476 41.414
test1_unlab_g0.01_k1_p2_r100_c10000.txt 45.946 46.476 41.414
test1_unlab_g0.01_k1_p2_r100_c100000.txt 45.946 46.476 41.414
test1_unlab_g0.01_k10_p2_r100_c1.txt 28.378 11.063 20.360
test1_unlab_g0.01_k10_p2_r100_c10.txt 28.378 11.063 20.360
test1_unlab_g0.01_k10_p2_r100_c100.txt 50.000 55.920 50.280
test1_unlab_g0.01_k10_p2_r100_c1000.txt 50.000 55.920 50.280
test1_unlab_g0.01_k10_p2_r100_c10000.txt 50.000 55.920 50.280
test1_unlab_g0.01_k10_p2_r100_c100000.txt 50.000 55.920 50.280
test1_unlab_g0.01_k100_p2_r100_c1.txt 31.081 12.591 23.065
test1_unlab_g0.01_k100_p2_r100_c10.txt 31.081 12.591 23.065
test1_unlab_g0.01_k100_p2_r100_c100.txt 41.892 27.027 31.714
test1_unlab_g0.01_k100_p2_r100_c1000.txt 41.892 27.027 31.714
test1_unlab_g0.01_k100_p2_r100_c10000.txt 41.892 27.027 31.714
test1_unlab_g0.01_k100_p2_r100_c100000.txt 41.892 27.027 31.714
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 32.432 11.472 21.200
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 32.432 11.472 21.200
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 40.541 24.413 32.133
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 37.838 30.429 36.453
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 37.838 30.429 36.453
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 37.838 30.429 36.453
test1_unlab_g0.1_k1_p2_r100_c1.txt 29.730 12.155 22.142
test1_unlab_g0.1_k1_p2_r100_c10.txt 29.730 12.155 22.142
test1_unlab_g0.1_k1_p2_r100_c100.txt 48.649 39.845 42.336
test1_unlab_g0.1_k1_p2_r100_c1000.txt 47.297 41.663 42.484
test1_unlab_g0.1_k1_p2_r100_c10000.txt 47.297 41.663 42.484
test1_unlab_g0.1_k1_p2_r100_c100000.txt 47.297 41.663 42.484
test1_unlab_g0.1_k10_p2_r100_c1.txt 28.378 11.797 21.530
test1_unlab_g0.1_k10_p2_r100_c10.txt 28.378 11.797 21.530
test1_unlab_g0.1_k10_p2_r100_c100.txt 50.000 48.510 47.711
test1_unlab_g0.1_k10_p2_r100_c1000.txt 50.000 48.510 47.711
test1_unlab_g0.1_k10_p2_r100_c10000.txt 50.000 48.510 47.711
test1_unlab_g0.1_k10_p2_r100_c100000.txt 50.000 48.510 47.711
test1_unlab_g0.1_k100_p2_r100_c1.txt 36.486 18.475 24.319
test1_unlab_g0.1_k100_p2_r100_c10.txt 25.676 21.150 15.831
test1_unlab_g0.1_k100_p2_r100_c100.txt 25.676 21.150 15.831
test1_unlab_g0.1_k100_p2_r100_c1000.txt 25.676 21.150 15.831
test1_unlab_g0.1_k100_p2_r100_c10000.txt 25.676 21.150 15.831
test1_unlab_g0.1_k100_p2_r100_c100000.txt 25.676 21.150 15.831
test1_unlab_g1_k0.1_p2_r100_c1.txt 29.730 9.716 17.531
test1_unlab_g1_k0.1_p2_r100_c10.txt 29.730 9.716 17.531
test1_unlab_g1_k0.1_p2_r100_c100.txt 29.730 9.716 17.531
test1_unlab_g1_k0.1_p2_r100_c1000.txt 14.865 4.314 3.847
test1_unlab_g1_k0.1_p2_r100_c10000.txt 14.865 4.314 3.847
test1_unlab_g1_k0.1_p2_r100_c100000.txt 14.865 4.314 3.847
test1_unlab_g1_k1_p2_r100_c1.txt 31.081 11.586 21.555
test1_unlab_g1_k1_p2_r100_c10.txt 31.081 11.586 21.555
test1_unlab_g1_k1_p2_r100_c100.txt 31.081 11.586 21.555
test1_unlab_g1_k1_p2_r100_c1000.txt 31.081 11.465 21.325
test1_unlab_g1_k1_p2_r100_c10000.txt 31.081 11.465 21.325
test1_unlab_g1_k1_p2_r100_c100000.txt 31.081 11.465 21.325
test1_unlab_g1_k10_p2_r100_c1.txt 28.378 11.243 20.871
test1_unlab_g1_k10_p2_r100_c10.txt 28.378 11.287 20.950
test1_unlab_g1_k10_p2_r100_c100.txt 37.838 25.712 33.798
test1_unlab_g1_k10_p2_r100_c1000.txt 33.784 24.321 31.288
test1_unlab_g1_k10_p2_r100_c10000.txt 33.784 24.321 31.288
test1_unlab_g1_k10_p2_r100_c100000.txt 33.784 24.321 31.288
test1_unlab_g1_k100_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c1000.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c10000.txt 31.081 7.904 14.739
test1_unlab_g1_k100_p2_r100_c100000.txt 31.081 7.904 14.739
test1_unlab_g10_k0.1_p2_r100_c1.txt 29.730 7.639 13.626
test1_unlab_g10_k0.1_p2_r100_c10.txt 29.730 7.639 13.626
test1_unlab_g10_k0.1_p2_r100_c100.txt 29.730 7.639 13.626
test1_unlab_g10_k0.1_p2_r100_c1000.txt 14.865 4.314 3.847
test1_unlab_g10_k0.1_p2_r100_c10000.txt 14.865 4.314 3.847
test1_unlab_g10_k0.1_p2_r100_c100000.txt 14.865 4.314 3.847
test1_unlab_g10_k1_p2_r100_c1.txt 31.081 12.004 22.285
test1_unlab_g10_k1_p2_r100_c10.txt 31.081 12.004 22.285
test1_unlab_g10_k1_p2_r100_c100.txt 31.081 12.004 22.285
test1_unlab_g10_k1_p2_r100_c1000.txt 29.730 11.035 20.518
test1_unlab_g10_k1_p2_r100_c10000.txt 29.730 11.035 20.518
test1_unlab_g10_k1_p2_r100_c100000.txt 29.730 11.035 20.518
test1_unlab_g10_k10_p2_r100_c1.txt 29.730 11.235 20.901
test1_unlab_g10_k10_p2_r100_c10.txt 32.432 16.815 25.449
test1_unlab_g10_k10_p2_r100_c100.txt 37.838 24.313 32.066
test1_unlab_g10_k10_p2_r100_c1000.txt 31.081 21.883 27.635
test1_unlab_g10_k10_p2_r100_c10000.txt 31.081 21.883 27.635
test1_unlab_g10_k10_p2_r100_c100000.txt 31.081 21.883 27.635
test1_unlab_g10_k100_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c100.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c1000.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c10000.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c100000.txt 31.081 7.904 14.739
summary max_miF_event max_maF_event max_maF_weiEvent 
 hi 50.000 55.920 50.280
