file miF_event maF_event weighted_maF_events
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 25.676 10.578 19.333
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 25.676 10.578 19.333
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 25.676 10.578 19.333
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 36.486 24.376 29.824
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 35.135 24.107 28.750
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 35.135 24.107 28.750
test1_unlab_g0.01_k1_p2_r100_c1.txt 29.730 10.967 20.194
test1_unlab_g0.01_k1_p2_r100_c10.txt 29.730 10.967 20.194
test1_unlab_g0.01_k1_p2_r100_c100.txt 31.081 14.100 22.842
test1_unlab_g0.01_k1_p2_r100_c1000.txt 32.432 34.268 29.521
test1_unlab_g0.01_k1_p2_r100_c10000.txt 32.432 34.268 29.521
test1_unlab_g0.01_k1_p2_r100_c100000.txt 32.432 34.268 29.521
test1_unlab_g0.01_k10_p2_r100_c1.txt 32.432 12.545 23.027
test1_unlab_g0.01_k10_p2_r100_c10.txt 32.432 12.545 23.027
test1_unlab_g0.01_k10_p2_r100_c100.txt 44.595 52.164 41.914
test1_unlab_g0.01_k10_p2_r100_c1000.txt 44.595 52.164 41.914
test1_unlab_g0.01_k10_p2_r100_c10000.txt 44.595 52.164 41.914
test1_unlab_g0.01_k10_p2_r100_c100000.txt 44.595 52.164 41.914
test1_unlab_g0.01_k100_p2_r100_c1.txt 28.378 7.368 13.144
test1_unlab_g0.01_k100_p2_r100_c10.txt 33.784 17.216 21.443
test1_unlab_g0.01_k100_p2_r100_c100.txt 37.838 27.381 35.763
test1_unlab_g0.01_k100_p2_r100_c1000.txt 37.838 27.381 35.763
test1_unlab_g0.01_k100_p2_r100_c10000.txt 37.838 27.381 35.763
test1_unlab_g0.01_k100_p2_r100_c100000.txt 37.838 27.381 35.763
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 28.378 9.385 17.337
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 28.378 9.385 17.337
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 29.730 12.501 19.956
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 32.432 36.242 30.775
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 32.432 36.242 30.775
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 32.432 36.242 30.775
test1_unlab_g0.1_k1_p2_r100_c1.txt 33.784 12.990 23.856
test1_unlab_g0.1_k1_p2_r100_c10.txt 33.784 12.990 23.856
test1_unlab_g0.1_k1_p2_r100_c100.txt 41.892 45.886 41.419
test1_unlab_g0.1_k1_p2_r100_c1000.txt 41.892 44.788 39.555
test1_unlab_g0.1_k1_p2_r100_c10000.txt 41.892 44.788 39.555
test1_unlab_g0.1_k1_p2_r100_c100000.txt 41.892 44.788 39.555
test1_unlab_g0.1_k10_p2_r100_c1.txt 27.027 8.272 14.843
